Species,Locality,Lat,Lon,Elevation(feet),Binary
T_gerstaeckeri,Ponto 21,13.75272,-89.20898,2085.7,0
T_guasayana,Buenos Aires Province ,-37.20173,-59.84107,787.6,1
T_guasayana,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_guasayana,Cordoba ,-31.43547,-64.2009,1385.7,1
T_guasayana,Sobremonte Department ,-29.75571,-64.0532,1892.7,1
T_guasayana,Cruz del Eje Department ,-30.44033,-65.28571,724.4,1
T_guasayana,Chaco Province ,-27.42572,-59.02438,175.6,1
T_guasayana,Jujuy ,-24.18434,-65.30218,4181.7,1
T_guasayana,La Pampa Province ,-36.61476,-64.28392,583.6,1
T_guasayana,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_guasayana,Mendoza Province ,-32.88962,-68.85269,2559.2,1
T_guasayana,Salta Province ,-24.79977,-65.41504,3871.8,1
T_guasayana,San Juan Province ,-31.52871,-68.53604,2126,1
T_guasayana,San Luis Province ,-33.2962,-66.32949,2414,1
T_guasayana,Santa Fe Province ,-31.58551,-60.7238,73,1
T_guasayana,Santiago del Estero Province ,-27.79104,-64.27344,618,1
T_guasayana,Rí_o Hondo ,-27.58468,-64.95344,899,1
T_guasayana,Tucumíçn ,-26.82211,-65.21929,1487,1
T_guasayana,Santa Cruz ,-16.7476,-62.0751,1206,1
T_guasayana,Tarija ,-21.52138,-64.7281,6195.4,1
T_guasayana,Mataral ,-17.41776,-66.15233,8450.1,1
T_guasayana,La Paz Department ,-15.08924,-68.52471,4439.1,1
T_guasayana,Alto Paraguay ,-20.08525,-59.47209,398.6,1
T_guasayana,Boqueron ,-21.74493,-60.95401,610.6,1
T_guasayana,Paraguari ,-26.17403,-57.10132,438.5,1
T_guasayana,Presidente Hayes Department ,-23.35126,-58.73736,331.4,1
T_guasayana,Nueva Asuncion ,-20.5177,-62.14322,1172.3,1
T_guasayana,Izozog ,-19.4,-62.75,1460,1
T_guasayana,Ponto 28 ,-3.645,-66.5332,303.7,0
T_guasayana,Ponto 29 ,-1.93323,-58.44727,260.3,0
T_guasayana,Ponto 30 ,0.87887,-56.82129,795.9,0
T_guasayana,Ponto 31 ,-3.03081,-51.28418,249.4,0
T_guasayana,Ponto 32 ,-5.74717,-66.66504,384.4,0
T_guasayana,Ponto 33 ,2.89915,-55.54687,963.6,0
T_guasayana,Ponto 34 ,2.89915,-65.43457,479,0
T_guasayana,Ponto 35 ,-0.43945,-72.72949,869.5,0
T_guasayana,Ponto 36 ,2.94304,-61.69922,511.1,0
T_guasayana,Ponto 37 ,-3.38182,-46.49414,463.1,0
T_infestans,Cochabamba ,-17.41398,-66.16532,8410.6,1
T_infestans,Autonomous City of Buenos Aires ,-34.60376,-58.38171,95.8,1
T_infestans,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_infestans,Chaco Province ,-27.42572,-59.02438,175.6,1
T_infestans,Cordoba ,-31.43547,-64.2009,1385.7,1
T_infestans,Corrientes Province ,-27.50485,-58.78043,207,1
T_infestans,Entre Rios ,-31.77467,-60.49565,274.8,1
T_infestans,Formosa Province ,-26.18948,-58.22428,209.8,1
T_infestans,Jujuy ,-24.18434,-65.30218,4181.7,1
T_infestans,La Pampa Province ,-36.61476,-64.28392,583.6,1
T_infestans,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_infestans,Mendoza ,-32.88946,-68.84584,2522.2,1
T_infestans,Misiones Province ,-27.42693,-55.94671,468.2,1
T_infestans,Neuquen ,-38.94587,-68.07309,1003.4,1
T_infestans,Rí_o Negro ,-40.82614,-63.02663,13.1,1
T_infestans,Salta ,-24.78308,-65.41037,3892.8,1
T_infestans,San Juan Province ,-31.52871,-68.53604,2126,1
T_infestans,San Luis ,-33.30173,-66.33775,2390.5,1
T_infestans,Rosario ,-32.94424,-60.65054,110,1
